"Jour	Type	Clics	Impressions	CTR	CPC.moy.	Co?t	Position.moy.	Clics.convertis	Co?t.clic.converti	Taux.de.conversion.des.clics	Conv..apr?s.affichage	Valeur.de.conv..totale"
"11/11/2012	Brand	221	1660	0,13313253	0,200497738	44,31	45,4	9	4,923333333	0,040723982	0	947,05"
"12/11/2012	Brand	222	1722	0,128919861	0,215	47,73	43,3	11	4,339090909	0,04954955	0	1624,2"
"13/11/2012	Brand	229	2806	0,081610834	0,200349345	45,88	46,1	8	5,735	0,034934498	0	728,6"
"14/11/2012	Brand	162	1155	0,14025974	0,291604938	47,24	48,8	6	7,873333333	0,037037037	0	493,25"
"15/11/2012	Brand	163	1834	0,088876772	0,292331288	47,65	52	6	7,941666667	0,036809816	0	401,2"
"16/11/2012	Brand	133	948	0,140295359	0,346541353	46,09	46	10	4,609	0,07518797	0	1193,9"
"17/11/2012	Brand	181	2265	0,0799117	0,196961326	35,65	46,5	8	4,45625	0,044198895	0	895,6"
"18/11/2012	Brand	249	2116	0,117674858	0,189236948	47,12	46,2	9	5,235555556	0,036144578	0	816,65"
"19/11/2012	Brand	196	1658	0,118214717	0,239081633	46,86	46,5	16	2,92875	0,081632653	0	1431,4"
"20/11/2012	Brand	190	896	0,212053571	0,246842105	46,9	47,2	9	5,211111111	0,047368421	0	1128,5"
"21/11/2012	Brand	164	870	0,188505747	0,286280488	46,95	43,3	7	6,707142857	0,042682927	0	503,9"
"22/11/2012	Brand	166	793	0,209331652	0,282349398	46,87	43,4	7	6,695714286	0,042168675	0	1057,15"
"23/11/2012	Brand	161	850	0,189411765	0,291304348	46,9	42,4	12	3,908333333	0,074534161	0	978,4"
"24/11/2012	Brand	150	697	0,215208034	0,3134	47,01	43,3	3	15,67	0,02	0	267,85"
"25/11/2012	Brand	174	597	0,291457286	0,269310345	46,86	41	12	3,905	0,068965517	0	2178,3"
"26/11/2012	Brand	222	1007	0,220456802	0,227972973	50,61	45	13	3,893076923	0,058558559	0	1426,3"
"27/11/2012	Brand	197	634	0,310725552	0,240609137	47,4	42	10	4,74	0,050761421	0	1171,35"
"28/11/2012	Brand	203	1292	0,157120743	0,228423645	46,37	47,2	12	3,864166667	0,0591133	0	1503,25"
"29/11/2012	Brand	184	655	0,280916031	0,24923913	45,86	47,7	14	3,275714286	0,076086957	0	2233,15"
"30/11/2012	Brand	163	593	0,274873524	0,267852761	43,66	47,8	14	3,118571429	0,085889571	0	1969,65"
"01/12/2012	Brand	117	379	0,308707124	0,378119658	44,24	44,6	16	2,765	0,136752137	0	1361,3"
"02/12/2012	Brand	122	369	0,330623306	0,362540984	44,23	41,9	8	5,52875	0,06557377	0	928,55"
"03/12/2012	Brand	147	630	0,233333333	0,333061224	48,96	42,2	8	6,12	0,054421769	0	1220,6"
"04/12/2012	Brand	181	1001	0,180819181	0,268895028	48,67	42,3	5	9,734	0,027624309	0	392,25"
"05/12/2012	Brand	186	974	0,190965092	0,259193548	48,21	39,7	8	6,02625	0,043010753	0	669,2"
"06/12/2012	Brand	155	710	0,218309859	0,304903226	47,26	39,1	7	6,751428571	0,04516129	0	767,95"
"07/12/2012	Brand	115	420	0,273809524	0,397217391	45,68	41	2	22,84	0,017391304	0	141,4"
"08/12/2012	Brand	116	594	0,195286195	0,37612069	43,63	42	2	21,815	0,017241379	0	183"
"09/12/2012	Brand	95	356	0,266853933	0,475157895	45,14	43,3	5	9,028	0,052631579	0	409,75"
"10/12/2012	Brand	123	571	0,215411559	0,405691057	49,9	40,5	8	6,2375	0,06504065	0	662,55"
"11/12/2012	Brand	124	497	0,249496982	0,397096774	49,24	42,6	10	4,924	0,080645161	0	1289,5"
"12/12/2012	Brand	128	567	0,225749559	0,3796875	48,6	42,4	6	8,1	0,046875	0	271,25"
"13/12/2012	Brand	128	639	0,200312989	0,3665625	46,92	43,1	7	6,702857143	0,0546875	0	850"
"14/12/2012	Brand	128	699	0,183118741	0,348203125	44,57	41	4	11,1425	0,03125	0	355,25"
"15/12/2012	Brand	162	1514	0,107001321	0,232777778	37,71	39,1	3	12,57	0,018518519	0	237,85"
"16/12/2012	Brand	170	1324	0,128398792	0,253470588	43,09	41,2	5	8,618	0,029411765	0	583,7"
"17/12/2012	Brand	107	442	0,242081448	0,451308411	48,29	43,3	7	6,898571429	0,065420561	0	789,65"
